Id,Sentence,Title,Author
0,"The student wouldn't stop doing her homework, and it was going to kill her.",Autonomous,Annalee Newitz
1,"To become the caretaker of Elaragnia, the Alezrani must give up part of their soul so they may interact with the universe at its deepest levels.",Mine,Loch
2,"The unicorn lived in a lilac wood, and she lived all alone.",The Last Unicorn,Peter S Beagle
3,"I have made my decision, Bacchus.",Goddess Of Light,P.C.Cast
4,The fetch is one of the most feared and least understood figures in Faerie.,The Brightest Fell,Seanan Mcguire
5,"As the clock ticked down on her senior year in high school, Laurel McBane learned one indisputable fact.",Savour The Moment,Nora Roberts
6,"Look, I didn't want to be a half-blood.",The Lightning Thief,Rick Riordan
7,Some things start before other things.,The Wee Free Men,Terry Pratchett
8,"Neither of the Grimes sisters would have a happy life, and looking back it always seemed that the trouble began with their parents' divorce.",Easter Parade,Richard Yates
10,"Our land is alive, Esperanza, said Papa, taking her small hand as they walked through the gentle slopes of the vineyard.",Esperanza Rising,Pam Munoz Ryan
11,"Phillip,” she said, “this is crazy. "".",City Boy,Leonard Michaels
12,"All of this happened, more or less.",Slaughterhouse-Five,Kurt Vonnegut
13,"Through my binoculars, I could see this nice forty-something-foot cabin cruiser anchored a few hundred yards offshore.",Plum Island,Nelson Demille
14,"When I finally caught up with Abraham Trahearne, he was drinking beer with an alcoholic bulldog named Fireball Roberts in a ramshackle joint just outside of Sonoma, California, drinking the heart right out of a fine spring afternoon.",The Last Good Kiss,James Crumley
15,In the beginning God created the heavens and the earth.,Genesis,God
16,Rain beat against the windows of the bus so hard one could barely see out.,Lavender-Green Magic,Andre Norton
17,"Directly ahead, the star was a marble-sized yellow-orange ball, it's intensity moderated by its distance and by the viewports automatic sunscreens.",Dark Force Rising,Timothy Zahn
18,The Giacano family had locked up the action in Orleans and Jefferson Parishes back in Prohibition.,Burning Angel,James Lee Burke
19,"Imo set out one day to catch some fish, but there was no sea.",Nation,Terry Pratchett
20,"On the day his destiny returned to claim him, Ted Mundy was sporting a bowler hat and balancing on a soapbox in one of Mad King Ludwig’s castles in Bavaria.",Absolute Friends,John Lecarrè
21,"There are no happy endings in history, only crisis points that pass.",The Gods Themselves,Issac Asimov
22,"Gliding through the blackness of deep space, the Imperial Star Dedtroyer Chimaera pointed its mighty arrowhead shape toward the dim star of its target system, three thousandths of a light-year away.",The Last Command,Timothy Zahn
23,"The Nac Mac Feegle are the most dangerous of the fairy races, particularly when drunk.",A Hat Full Of Sky,Terry Pratchett
24,That was when I saw the Pendulum.,Foucault's Pendulum,Umberto Eco
25,"The Scopuli had been taken eight days ago, and Julie Mao was finally ready to be shot.",Leviathan's Wake,James S.A. Corey
26,"Some years in Portland, Oregon, winter is a bully, spitting sleet and spewing snow in fits and starts as it violently wrestles days from spring, claiming some archaic right to remain king of the seasons - ultimately the vain attempt of another pretender.",Cross Roads,Wm. Paul Young
27,"In retrospect, there had been omens and portents.",Unsong,Scott Alexander
28,Friday.,One Shot,Lee Child
29,Few wished to breach the Temple-Guild's border unauthorized.,Goldmage,Hannah Blume
30,"I was born in the year 1632, in the city of York, of a good family, though not of that country, my father being a foreigner of Bremen, who settled first at Hull.",Robinson Crusoe,Daniel Defoe
31,"According to the First Scroll of Wen the Eternally Surprised, Wen stepped out of the cave where he had received enlightenment and into the dawning light of the first day of the rest of his life.",Thief Of Time,Terry Pratchett
32,There is a pile of clothing on the side of the train tracks.,The Girl On The Train,Paula Hawkins
33,"The starlines collapsed into stars, and the Imperial Star Destroyer Dominator had arrived.",Scoundrels,Timothy Zahn
34,"The body lay naked and facedown, a deathly gray, spatters of blood staining the snow around it.",Ancillary Justice,Ann Leckie
35,Within the practice and protocol of the Los Angeles Police Department a two-six call is the one that draws the most immediate response while striking the most fear behind the bulletproof vest.,The Closers,Michael Connelly
36,The first thing you find out when yer dog learns to talk is that dogs don't got nothing much to say.,The Knife Of Never Letting Go,Patrick Ness
37,"The old man's breath was uneven; sometimes difficult and shallow, sometimes deep but slow.",The Silk Mind,Pete Alex Harris
38,"It was two thirty in the morning, and raining. In the City, it was always two thirty in the morning and raining.",The Night Mayor,Kim Newman
39,The town was in flames.,Blood Of Elves,Andrzej Sapkowski
40,"Wind howled through the night, carrying a scent that would change the world.",Eragon,Christopher Paolini
42,The great gray beast February had eaten Harvey Swick alive.,The Thief Of Always,Clive Barker
43,The Heart was cold.,The Source Of Fire,Pete Alex Harris
44,The songs of the dead are the lamentations of the living.,Eldest,Christopher Paolini
45,"Ned Mathey hung up his hat as he came back into his chambers from the square outside, and his clerk Miss Cordelia Frost looked up from her desk with an expression of mild curiosity.",Death By Silver,Melissa Scott And Amy Griswold
46,"Picture the woods above Shimboku, the early afternoon sun a white smear in the clouds.",Miasma,Pete Alex Harris
48,To wound the autumnal city.,Dhalgren,Samuel R. Delany
49,The first conscious shock after the coronary was staring down at my own body huddled on the floor by the piano.,Influencing The Hell Out Of Time And Teresa Golowitz,Parke Godwin
50,In a hole in the ground there lived a hobbit.,The Hobbit,Jrr Tolkien
51,The naked child ran out of the hide-covered lean-to toward the rocky beach at the bend in the small river.,The Clan Of The Cave Bear,Jean M. Auel
52,"Stately, plump Buck Mulligan came from the stairhead, bearing a bowl of lather on which a mirror and a razor lay crossed.",Ulysses,James Joyce
53,The Morris dance is common to all inhabited worlds in the multiverse.,Reaper Man,Terry Pratchett
54,"Pidge's phone whistled in her pocket, a familiar riff that never failed to make her smile every time one of her dancing friends texted her.",Splanky,Ladymac111 (Ao3)
55,"Amory Blaine inherited from his mother every trait, except the stray inexpressible few, that made him worth while.",This Side Of Paradise,F. Scott Fitzgerald
57,The primroses were over.,Watership Down,Richard Adams
58,Elijah Brody was being attacked by butterflies.,The Caledonian Gambit,Dan Moren
59,"At three-thirty A. M. On the night of June 5, 1992, the top telepath in the Sol System fell off the map in the offices of Runciter Associates in New York City.",Ubik,Philip K. Dick
60,The worst thing about knowing that Gary Fairchild had been dead for a month was seeing him every day at work.,The Silicon Mage,Barbara Hambly
61,It seemed like half the band was already at Keith’s house -- or at least they were all in the back yard when Hunk followed the paper lanterns and spooky soundtrack down the path around the side of the house.,I Want To Wake Up Where You Are,Ladymac111 (Ao3)
62,"Jeeves—my man, you know—is really a most extraordinary chap.",My Man Jeeves,Pg Wodehouse
63,The month of June was growing old.,Lost In The Barrens,Farley Mowat
64,Love is a fickle companion.,Village Teacher,Jack Sheffield
65,"Today, Mother died.",The Stranger,Camus
66,"Three times Randolph Carter dreamed of the marvellous city, and three times was he snatched away while still he paused on the high terrace above it.",The Dream-Quest Of Unknown Kadath,H. P. Lovecraft
67,"Rebecca and I are the only ones in the comp sci lounge on this particular Wednesday afternoon, having tea while we wait for our code to finish compiling before we go home for the day.",Facing Future,Knitbelove (Ao3)
68,There was once a little princess whose father was king over a great country full of mountains and valleys.,The Princess And The Goblin,George Macdonald
71,"A-hind of hill, ways off to sun-set-down, is sky come like as fire, and walk I up in way of this, all hard of breath, where is grass colding on I's feet and wetting they.",Voice Of The Fire,Alan Moore
72,It was the morning of the day on which I was slated to pop down to my Aunt Agatha's place at Woollam Chersey in the county of Herts for a visit of three solid weeks; and.,"Very Good, Jeeves",Pg Wodehouse
73,"There was Eru, the One, who in Arda is called Ilúvatar; and he made first the Ainur, the Holy Ones, that were the offspring of his thought, and they were with him before aught else was made.",The Silmarillion,Jrr Tolkien
74,"The city sprawled like roadkill, spreading more with each new pressure.",Atom,Steve Aylett
75,Everything is music.,Stolen,Annette Lapointe
76,"We should start back, Gared urged as the woods began to grow dark around them.",Game Of Thrones,George R.R. Martin
77,The home office telegraphy department always smelled of tea.,The Watchmaker Of Filigree Street,Natasha Pulley
78,"Aimée Leduc smoothed her vintage Lanvin blue silk blouse, a flea market find.",Murder In The Palais Royal,Cara Black
79,"I'd just flicked a spider off the desk, sighed and prepared to rise when the shadow of someone's head and shoulders appeared on the floor like the edge of a jigsaw piece.",Novahead,Steve Aylett
80,Six crows sit in our greengage tree.,Monkey Beach,Eden Robinson
81,"M y attention was drawn to the spots on my chest when I was in my bath, singing, if Iremember rightly, the Toreador song from the opera Carmen.",Aunts Aren'T Gentlemen,Pg Wodehouse
82,I am forced into speech because men of science have refused to follow my advice without knowing why.,At The Mountains Of Madness,H.P. Lovecraft
83,Now consider the tortoise and the eagle.,Small Gods,Terry Pratchett
84,Mush! the hunter cried into the wind.,Kiss Of The Fur Queen,Tomson Highway
85,Here's the whole story of how Fain the Gardener became Fain the Sorcerer.,Fain The Sorcerer,Steve Aylett
86,Snowman wakes before dawn.,Oryx And Crake,Margaret Atwood
87,I had wanted to see the ship before we boarded; it wasn’t as though I got on a colonial cruiser every week.,Brendan's Way,Matthew Bin
88,"Let's start with the end of the world, why don't we?.",The Fifth Season,Nk Jemisin
90,"“Will,” said Henry Collings, laying his hand lightly on my shoulder, a habit of his that I despised.",The Factualist,Matthew Bin
91,Regina Sparks flew over a lion-coloured desert in a monoplane of clear glass.,Rebel At The End Of Time,Steve Aylett
92,It was a beautiful morning at the end of November.,The Name Of The Rose,Umberto Eco
93,"It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife.",Pride And Prejudice,Jane Austen
95,"When the phone rang I was in the kitchen, boiling a potful of spaghetti and whistling along to an FM broadcast of the overture to Rossini's The Thieving Magpie, which has to be the perfect music for cooking pasta.",The Wind-Up Bird Chronicle,Haruki Murakami
96,"The canyon stank of rot and gore, a sweltering abattoir in the desert heat.",Wyvern's Wings (Nanowrimo Novel),Mark Sargent
97,"The girl was surgeon and singing bird, deadly queen of sharps.",Shamanspace,Steve Aylett
98,"They order, said I, this matter better in France.",Sentimental Journey,Laurence Sterne
99,"“Third one this evening,” the cashier said.",The Famiglia,Matthew Bin
